words,links,capital_words,spam_word_count,is_spam
214,2,21,10,1
197,0,2,0,0
324,0,8,3,0
290,1,0,0,0
252,10,17,9,1
822,9,20,5,1
208,2,0,2,0
170,6,25,1,1
142,2,10,3,1
164,2,0,0,0
140,8,25,7,1
237,3,1,0,0
632,5,29,5,1
130,0,4,2,0
295,2,2,1,0
157,3,15,3,1
955,5,11,5,1
347,9,8,0,1
146,4,12,7,1
108,1,2,0,0
587,6,1,10,1
116,5,24,10,1
25,5,2,1,0
306,1,6,0,0
451,1,29,10,1
622,7,9,1,1
343,10,21,9,1
200,3,2,0,0
492,10,5,3,1
207,0,9,1,0
213,1,3,0,0
162,0,0,0,0
706,7,27,7,1
182,2,26,10,1
163,2,3,0,0
355,1,27,6,1
66,0,0,1,0
157,2,2,8,1
107,2,2,6,0
162,2,1,1,0
277,2,0,5,0
261,1,3,0,0
75,1,4,0,0
589,3,24,5,1
991,5,26,3,1
125,8,28,4,1
68,1,1,2,0
266,0,0,3,0
780,9,7,3,1
93,1,5,1,0
93,1,0,2,0
146,4,28,5,1
149,5,21,9,1
30,5,3,1,0
154,3,27,0,1
161,3,9,3,1
193,1,3,1,0
969,4,26,6,1
304,1,7,0,0
130,1,2,2,0
129,7,18,2,1
190,3,2,4,0
109,1,5,2,0
458,1,3,9,1
260,8,5,4,1
234,1,3,1,0
769,10,3,5,1
546,0,22,7,1
161,1,3,1,0
186,0,2,1,0
143,9,27,4,1
109,2,5,2,1
279,0,1,0,0
124,1,9,0,0
91,3,3,0,0
297,0,2,2,0
161,6,16,4,1
241,1,5,1,0
166,2,0,1,0
206,0,0,0,0
130,2,0,0,0
139,5,11,5,1
151,2,9,9,1
438,3,1,3,1
226,0,3,0,0
600,8,15,6,1
721,4,21,9,1
269,1,8,0,0
953,8,14,3,1
103,4,3,7,1
864,9,29,4,1
78,0,7,1,0
762,2,25,2,1
306,5,8,0,0
383,1,1,0,0
72,9,25,3,1
893,1,26,8,1
338,2,2,0,0
158,3,10,5,1
131,2,27,10,1
137,10,2,2,1
799,9,1,8,1
100,1,0,0,0
74,0,1,1,0
174,4,3,4,0
649,9,5,9,1
336,4,2,0,0
819,8,14,7,1
242,0,3,0,0
62,2,27,8,1
196,1,2,6,0
188,3,5,4,1
303,8,23,8,1
617,2,14,6,1
182,2,5,4,0
860,5,16,6,1
591,1,18,9,1
166,0,1,3,0
123,9,2,3,1
194,2,5,1,0
37,2,2,0,0
69,1,1,2,0
350,6,3,5,1
290,0,9,3,0
192,3,13,5,1
23,1,2,0,0
270,2,3,0,0
882,0,0,9,1
684,0,19,2,1
182,1,0,0,0
187,2,0,2,0
341,4,27,3,1
249,0,2,4,0
274,2,2,2,0
590,5,5,8,1
337,0,3,2,0
76,4,0,2,0
344,1,0,0,0
45,1,1,1,0
277,1,5,2,0
408,2,21,0,1
480,2,3,0,0
260,2,10,2,0
454,4,15,2,1
909,1,25,4,1
230,0,2,5,0
71,6,14,5,1
285,2,6,2,0
760,2,24,3,1
828,8,12,4,1
149,2,0,0,0
188,1,3,0,0
263,0,2,2,0
150,4,16,0,1
857,2,25,0,1
396,5,7,9,1
367,2,2,1,0
136,0,1,2,0
266,1,3,0,0
962,10,24,3,1
451,2,18,7,1
193,4,1,2,0
377,2,0,2,0
307,9,17,4,1
199,2,2,0,0
143,5,26,4,1
391,4,22,4,1
414,3,14,3,1
166,9,29,7,1
661,7,14,7,1
702,2,4,7,1
300,0,1,1,0
244,0,1,1,0
602,8,28,6,1
491,1,10,3,0
784,4,27,3,1
194,8,5,8,1
720,0,30,3,1
244,9,4,10,1
293,2,1,1,0
82,2,0,1,0
262,2,3,2,0
743,10,15,10,1
102,2,0,2,0
88,7,24,7,1
294,1,0,1,0
64,2,0,5,0
794,4,1,0,1
54,2,3,2,0
228,1,0,0,0
71,1,2,2,0
143,0,4,0,0
126,1,2,1,0
162,8,12,8,1
232,1,2,0,0
147,1,3,0,0
98,2,3,1,0
178,2,5,3,1
284,1,3,0,0
300,5,3,6,1
263,2,1,1,0
803,10,1,8,1
662,4,13,8,1
652,2,9,6,1
259,3,3,3,0
155,2,25,8,1
313,1,10,2,0
158,2,4,1,0
241,0,9,4,0
892,7,3,4,1
176,0,3,0,0
54,0,3,1,0
234,2,5,1,0
454,2,0,5,0
113,2,9,2,0
138,5,2,1,0
546,10,10,3,1
147,4,6,3,1
111,2,0,3,0
738,3,2,8,1
32,0,2,1,0
441,7,27,1,1
64,5,9,2,1
161,0,2,0,0
221,7,1,6,1
335,4,21,9,1
810,7,16,4,1
73,9,5,0,1
119,2,0,5,0
138,0,3,2,0
120,3,20,4,1
56,0,8,1,0
608,4,29,2,1
220,5,3,1,0
226,3,5,5,1
659,1,13,5,1
217,5,0,1,0
172,1,2,4,0
54,4,3,1,0
735,7,28,4,1
218,1,3,3,0
807,7,22,4,1
173,2,1,5,0
90,2,8,1,0
678,9,16,3,1
398,2,3,4,0
196,7,19,1,1
358,1,17,1,1
226,4,8,9,1
288,0,3,2,0
869,3,26,6,1
149,1,8,10,1
123,4,2,2,0
151,3,26,10,1
145,2,7,2,0
250,3,7,0,0
134,5,1,0,0
194,0,3,5,0
29,5,5,2,0
240,8,0,9,1
87,3,0,2,0
794,2,11,9,1
73,0,3,1,0
476,0,1,2,0
208,2,8,1,0
78,5,3,2,0
229,0,1,2,0
141,1,0,3,1
152,5,23,6,1
53,0,1,1,0
72,1,1,2,0
241,2,10,2,0
865,4,1,10,1
93,1,5,2,0
613,8,15,4,1
889,3,16,8,1
63,2,5,2,0
438,8,26,8,1
110,0,3,1,0
185,2,1,1,0
168,2,1,2,0
132,0,0,1,0
264,1,2,2,0
143,1,9,5,1
98,5,14,5,1
251,8,10,9,1
866,7,5,8,1
180,1,1,2,0
665,6,23,2,1
92,4,5,2,0
840,7,24,5,1
464,2,3,1,1
786,4,6,5,1
189,2,3,1,0
155,2,8,1,0
82,2,3,2,0
129,10,1,5,1
174,5,6,2,0
573,10,30,3,1
228,2,8,0,0
275,1,0,0,0
87,1,28,7,1
176,8,24,1,1
453,1,7,0,1
440,4,4,2,0
395,0,0,3,0
133,0,1,0,0
308,1,3,6,0
459,1,0,2,0
23,0,1,5,0
750,7,4,10,1
159,1,2,1,0
571,10,16,4,1
710,9,14,0,1
120,0,2,0,0
952,8,27,5,1
577,9,11,8,1
345,2,8,6,1
106,8,3,6,1
640,3,16,2,1
655,1,28,3,1
201,1,0,2,0
195,4,0,2,0
158,0,11,6,1
244,5,7,3,1
119,5,23,1,1
240,4,0,1,1
350,9,7,1,1
346,0,2,9,1
197,3,3,2,0
165,1,2,1,0
262,5,6,0,1
40,3,9,0,0
197,2,3,5,0
245,1,5,5,1
136,1,3,5,0
683,5,0,2,1
165,2,3,5,0
35,5,3,1,0
146,0,2,1,0
749,4,1,10,1
167,5,3,1,0
532,9,15,10,1
569,7,10,5,1
372,9,21,5,1
119,0,3,1,0
140,2,14,2,1
200,1,1,1,0
21,0,6,1,0
118,9,13,10,1
210,2,3,4,0
71,2,0,1,0
179,5,7,8,1
583,2,10,6,1
179,9,29,3,1
66,0,0,2,0
382,4,1,6,0
246,1,7,0,0
97,10,6,7,1
615,7,7,7,1
66,2,14,5,1
